WAREHOUSE,ITEM_NUMBER,CUR_LOCATION,DAYS_FRM_SLE,AVGD_BTW_SLE,LMGRD5,LMDEEP,OPT_CURRBAY,SUGGESTED_GRID5,SUGGESTED_DEPTH,OPT_OPTBAY,SUGGESTED_MAX,SUGGESTED_MIN,IMPLIED_REPLEN,CURRENT_REPLEN,DAILY_PICK,DAILY_UNIT,REPLEN_SCORE,WALK_SCORE,TOTAL_SCORE
7,1193979,B782411,15,1,11T11,24,24,11S47,24,2,30,8,253,253,11.00,36.00,0.00%,0.00%,0.00%
7,6020027,B751162,0,1,08S23,24,11,15S24,120,0,1200,100,12,253,2.00,50.00,0.00%,89.79%,0.00%
7,5430112,A100051,0,1,60P48,88,0,27S44,120,0,1035,259,173,234,99.99,99.99,0.00%,100.00%,0.00%
7,6070057,A310011,0,1,12S24,120,0,27S24,120,0,33,9,295,295,13.00,28.00,0.00%,100.00%,0.00%
7,1126152,A740011,0,1,12S18,120,0,27S44,120,0,78,20,44,211,8.00,10.00,0.00%,100.00%,0.00%
7,3090106,A710021,0,1,15S44,120,0,27S44,120,0,190,48,0,253,46.00,99.99,0.00%,100.00%,0.00%
7,9920002,A790041,0,1,27S18,120,0,12S24,120,0,114,29,253,253,51.00,99.99,0.00%,100.00%,0.00%
7,7848231,B371231,0,1,11S47,24,12,15S12,120,0,420,104,42,39,23.00,52.00,80.46%,0.00%,0.00%
7,1202707,B290331,39,1,11S47,24,3,11S47,24,3,12,3,197,197,4.00,7.00,1.48%,100.00%,1.48%
7,6405822,A160022,0,1,15S12,120,0,15S12,120,0,40,10,127,190,12.00,15.00,5.00%,100.00%,5.00%
7,1969429,A880042,0,1,09S12,120,0,09S12,120,0,2064,450,35,162,51.00,99.99,19.03%,100.00%,19.03%
7,2480254,B840321,0,1,11S47,24,3,11S47,24,2,120,30,160,160,10.00,57.00,19.78%,100.00%,19.78%
7,1025073,B271721,0,1,11S47,24,17,09S12,120,0,230,56,41,30,9.00,28.00,84.91%,28.96%,24.59%
7,1048819,A370012,0,1,12S18,120,0,27S24,120,0,456,96,34,150,16.00,48.00,24.94%,100.00%,24.94%
7,9004475,B630411,0,1,58P48,44,4,27S44,120,0,448,112,42,49,28.00,56.00,75.37%,35.00%,26.38%
7,1126219,A780053,0,1,15S48,120,0,15S24,120,0,363,91,130,146,47.00,99.99,27.02%,100.00%,27.02%
7,9004686,B680911,0,1,58P48,44,9,27S44,120,0,228,52,37,37,16.00,26.00,81.70%,33.14%,27.08%
7,5069175,A850041,0,1,09S12,120,0,27S18,120,0,768,144,29,145,15.00,72.00,27.62%,100.00%,27.62%
7,2580603,B730361,5,1,11S47,24,3,11S47,24,2,126,32,143,143,7.00,53.00,28.58%,100.00%,28.58%
7,6402805,A910021,0,1,12S96,120,0,12S96,120,0,584,146,143,143,83.00,99.99,28.61%,100.00%,28.61%
7,9081188,B730921,0,1,11S47,24,9,11S23,24,1,1460,192,0,0,17.00,96.00,100.00%,28.96%,28.96%
7,1160836,B411821,1,1,11S47,24,18,11S47,24,4,24,6,127,127,3.00,9.00,36.67%,80.50%,29.52%
7,1098920,A320043,0,1,09S12,120,0,14S18,120,0,75,19,45,141,5.00,10.00,29.63%,100.00%,29.63%
7,1126240,B721631,0,1,11S47,24,16,09S12,120,0,120,30,42,34,8.00,15.00,83.04%,36.85%,30.60%
7,1534934,A850011,0,1,12S18,120,0,12S18,120,0,100,24,40,138,2.00,12.00,30.91%,100.00%,30.91%
7,5430133,A100042,0,1,60P48,88,0,27S44,120,0,625,157,209,137,45.00,99.99,31.35%,100.00%,31.35%
7,6667447,B251911,0,1,38P36,24,19,27S44,120,0,40,8,32,101,4.00,4.00,49.33%,64.71%,31.92%
7,1118088,A420011,0,1,12S24,120,0,27S44,120,0,720,106,22,134,12.00,53.00,32.87%,100.00%,32.87%
7,1001444,A420052,0,1,15S18,120,0,27S24,120,0,330,83,48,132,14.00,47.00,33.85%,100.00%,33.85%
7,1292997,B251721,0,1,11S47,24,17,11T11,24,3,0,0,253,127,1.00,2.00,36.67%,93.50%,34.28%
7,7772325,B802573,0,1,06T11,24,25,11T11,24,1,42,11,82,56,4.00,10.00,71.85%,48.00%,34.49%
7,1127017,A310034,0,1,12S44,120,0,27S30,120,0,470,118,45,131,15.00,62.00,34.56%,100.00%,34.56%
7,6668865,B751031,6,2,11S47,24,10,27S18,120,0,60,8,10,127,1.00,2.00,36.67%,94.89%,34.79%
7,1027791,A410052,0,1,15S24,120,0,27S44,120,0,432,86,31,130,29.00,43.00,35.16%,100.00%,35.16%
7,1842334,B410382,0,2,11T11,24,3,11S47,24,9,120,26,17,127,1.00,6.50,36.67%,97.21%,35.65%
7,9678108,B210321,0,1,11S47,24,3,11S47,24,4,12,3,225,127,3.00,8.00,36.67%,97.21%,35.65%
7,1118659,A670021,0,1,15S44,120,0,27S44,120,0,720,132,28,128,15.00,66.00,35.69%,100.00%,35.69%
7,5430153,A100031,0,1,60P48,88,0,27S44,120,0,630,158,107,127,40.00,99.99,36.35%,100.00%,36.35%
7,6423427,B290321,0,1,11S47,24,3,11S47,24,3,24,6,127,127,4.00,9.00,36.67%,100.00%,36.67%
7,1042411,A700021,0,1,15S12,120,0,27S12,120,0,170,40,39,127,5.00,20.00,36.67%,100.00%,36.67%
7,9870343,A280011,4,1,12S30,120,0,12S44,120,0,104,26,45,127,10.00,14.00,36.67%,100.00%,36.67%
7,1530242,B210931,0,2,11S47,24,9,11S47,24,9,6,2,127,127,1.00,2.00,36.67%,100.00%,36.67%
7,1012787,B341921,0,1,11S47,24,19,11S47,24,2,342,42,18,18,8.00,21.00,91.19%,40.57%,36.99%
7,5071423,A260034,0,1,12S12,120,0,11S47,24,3,350,88,69,120,5.00,71.00,40.04%,93.04%,37.26%
7,1118537,A740013,0,1,12S24,120,0,15S30,120,0,390,98,47,124,14.00,54.00,37.82%,100.00%,37.82%
7,1126138,B811521,0,1,11S47,24,15,15S12,120,0,432,78,28,29,8.00,39.00,85.47%,44.28%,37.85%
7,1009869,A690015,0,1,12S24,120,0,27S24,120,0,228,57,43,122,13.00,29.00,38.78%,100.00%,38.78%
7,9007440,A840015,0,1,12S30,120,0,27S44,120,0,720,116,24,122,18.00,58.00,38.78%,100.00%,38.78%
7,1083517,B250112,0,1,11T11,24,1,11T11,24,1,238,60,122,122,14.00,86.00,38.80%,100.00%,38.80%
7,1044632,A850015,0,1,12S18,120,0,27S18,120,0,360,80,36,120,13.00,40.00,39.68%,100.00%,39.68%
7,1025455,A350022,0,1,15S30,120,0,27S24,120,0,120,30,48,119,15.00,17.00,40.19%,100.00%,40.19%
7,1126843,A250041,0,1,27S18,120,0,27S30,120,0,432,102,39,119,10.00,51.00,40.19%,100.00%,40.19%
7,6122561,B630711,0,1,58P48,44,7,27S44,120,0,220,55,110,107,14.00,72.00,46.35%,87.00%,40.33%
7,1014336,A720012,0,1,12S24,120,0,27S24,120,0,420,98,39,118,16.00,49.00,40.89%,100.00%,40.89%
7,9875471,A390041,0,1,09S18,120,0,27S18,120,0,136,26,30,117,7.00,13.00,41.19%,100.00%,41.19%
7,9238209,A430011,0,1,12S12,120,0,14S18,120,0,312,78,42,117,10.00,39.00,41.19%,100.00%,41.19%
7,5430158,A100010,0,1,60S48,88,0,27S44,120,0,675,169,91,117,30.00,99.99,41.47%,100.00%,41.47%
7,3780722,B211338,0,1,06T04,24,13,11T11,24,1,448,24,7,36,8.00,12.00,81.90%,51.71%,42.35%
7,2586520,B270111,4,1,15T11,24,1,11T11,24,1,48,12,190,114,3.00,27.00,43.00%,100.00%,43.00%
7,1019031,A170022,0,1,15S30,120,0,27S30,120,0,144,36,42,114,13.00,18.00,43.00%,100.00%,43.00%
7,1104671,A630052,0,1,27S24,120,0,12S44,120,0,440,90,33,114,5.00,45.00,43.00%,100.00%,43.00%
7,1127151,A340023,0,1,15S18,120,0,27S44,120,0,240,54,37,114,5.00,27.00,43.00%,100.00%,43.00%
7,5660460,A280043,0,1,27S24,120,0,27S44,120,0,1260,315,43,114,37.00,99.99,43.00%,100.00%,43.00%
7,3333664,B701921,0,1,11S47,24,19,11S47,24,2,177,18,14,18,7.00,9.00,90.95%,48.00%,43.65%
7,2488072,B350221,0,1,11S47,24,2,11S47,24,2,145,37,112,112,10.00,48.00,43.70%,100.00%,43.70%
7,1023597,A710034,0,1,14S18,120,0,15S30,120,0,760,176,38,111,31.00,88.00,44.27%,100.00%,44.27%
7,1049869,A810011,0,1,12S18,120,0,15S30,120,0,250,63,45,111,10.00,33.00,44.27%,100.00%,44.27%
7,9678110,B340321,5,1,11S47,24,3,11S47,24,3,3,1,253,111,4.00,7.00,44.58%,100.00%,44.58%
7,5700601,B782414,4,1,11T11,24,24,09S12,120,0,180,30,25,76,2.00,15.00,62.00%,74.00%,45.88%
7,1125546,B760831,0,1,11S47,24,8,12S12,120,0,156,38,41,29,11.00,19.00,85.33%,54.03%,46.10%
7,9004072,B740351,0,1,08S23,24,3,11S47,24,1,380,72,30,87,13.00,36.00,56.57%,81.89%,46.33%
7,1049909,B800241,0,1,11S47,24,2,11T11,24,1,126,32,73,73,19.00,27.00,63.62%,73.53%,46.78%
7,1126830,A920011,0,1,12S30,120,0,27S24,120,0,380,92,40,106,12.00,46.00,47.03%,100.00%,47.03%
7,1127014,A290012,0,1,12S12,120,0,27S12,120,0,190,48,45,105,6.00,25.00,47.22%,100.00%,47.22%
7,9920006,A150042,0,1,27S18,120,0,27S44,120,0,168,42,50,105,8.00,25.00,47.22%,100.00%,47.22%
7,9004789,B821731,0,1,11S47,24,17,11S47,24,2,147,22,22,25,7.00,11.00,87.45%,54.50%,47.66%
7,9004460,A880034,0,1,12S18,120,0,27S18,120,0,152,34,36,102,7.00,17.00,48.73%,100.00%,48.73%
7,1116120,B822121,0,1,11S47,24,21,11S47,24,3,83,16,30,53,4.00,8.00,73.33%,66.57%,48.82%
7,9871301,A840045,0,1,09S30,120,0,27S18,120,0,220,46,33,102,15.00,23.00,48.89%,100.00%,48.89%
7,1026893,B760312,0,1,11T11,24,3,11S47,24,1,196,28,21,84,11.00,14.00,57.78%,84.68%,48.93%
7,1244145,B702074,0,1,11T11,24,20,11S47,24,3,215,12,0,52,4.00,6.00,73.79%,66.57%,49.12%
7,1126331,A340043,0,1,27S24,120,0,15S44,120,0,200,48,40,101,14.00,24.00,49.33%,100.00%,49.33%
7,6437651,A640052,0,1,15S24,120,0,27S44,120,0,768,192,50,99,8.00,99.99,50.30%,100.00%,50.30%
7,7776080,B691231,0,1,11S47,24,12,11S47,24,2,170,30,27,27,9.00,15.00,86.43%,58.21%,50.31%
7,9877504,A740012,0,1,12S18,120,0,15S24,120,0,190,48,48,99,10.00,27.00,50.44%,100.00%,50.44%
7,2222228,B801363,0,1,11T11,24,13,11S47,24,2,323,18,0,60,6.00,9.00,70.00%,72.14%,50.50%
7,1222587,A400032,0,1,12S24,120,0,27S12,120,0,228,57,44,99,21.00,30.00,50.65%,100.00%,50.65%
7,2670005,A360011,0,1,12S12,120,0,27S12,120,0,108,27,44,98,4.00,14.00,50.74%,100.00%,50.74%
7,5820812,A310033,0,1,12S12,120,0,09S30,120,0,108,27,44,98,8.00,14.00,50.74%,100.00%,50.74%
7,1479303,B300564,0,1,11T11,24,5,11S47,24,1,1440,86,8,54,13.00,43.00,72.77%,69.82%,50.81%
7,1126690,B721131,0,1,11S47,24,11,14S12,120,0,100,20,32,41,7.00,10.00,79.57%,64.25%,51.12%
7,9001887,A400054,0,1,15S12,120,0,15S12,120,0,330,83,47,97,23.00,46.00,51.44%,100.00%,51.44%
7,5700413,B37015H,4,3,06T06,6,1,06T06,24,3,70,16,0,96,0.33,2.67,51.75%,99.54%,51.51%
7,1078441,B780631,0,1,11S47,24,6,27S18,120,0,350,32,0,47,10.00,16.00,76.43%,67.50%,51.59%
7,5125059,B300231,0,1,11S47,24,2,11S47,24,2,57,15,114,96,8.00,19.00,51.87%,100.00%,51.87%
7,1112876,B861831,0,1,11S47,24,18,11S47,24,2,456,40,12,13,6.00,20.00,93.59%,55.43%,51.87%
7,9875900,A660043,0,1,09S12,120,0,12S12,120,0,100,25,47,96,5.00,14.00,52.07%,100.00%,52.07%
7,7770136,B300321,0,1,11S47,24,3,09S12,120,0,350,88,46,47,23.00,48.00,76.62%,67.96%,52.07%
7,1047976,B742454,0,1,06T11,24,24,11S47,24,4,288,30,15,46,3.00,15.00,76.83%,67.96%,52.21%
7,1124872,A400012,0,1,12S18,120,0,27S18,120,0,170,36,34,95,7.00,18.00,52.50%,100.00%,52.50%
7,9872558,A280031,4,1,12S24,120,0,14S18,120,0,64,16,47,95,4.00,9.00,52.50%,100.00%,52.50%
7,9910026,B310731,4,2,11S47,24,7,11S47,24,7,6,2,95,95,1.50,1.50,52.50%,100.00%,52.50%
7,1125533,A860021,0,1,15S12,120,0,12S30,120,0,240,60,48,95,5.00,34.00,52.67%,100.00%,52.67%
7,1027724,B821521,0,1,11S47,24,15,11S47,24,2,288,50,27,26,7.00,25.00,87.02%,61.00%,53.08%
7,1071241,A920024,0,1,15S18,120,0,27S18,120,0,440,110,46,94,16.00,60.00,53.09%,100.00%,53.09%
7,2509801,B402031,0,1,11S47,24,20,09S12,120,0,64,14,35,25,4.00,7.00,87.33%,61.00%,53.27%
7,1271338,B281864,0,1,11T11,24,18,11S47,24,3,264,16,8,30,5.00,8.00,85.10%,62.85%,53.49%
7,2480687,B720821,0,1,11S47,24,8,11T11,24,1,96,24,148,47,7.00,42.00,76.36%,70.75%,54.02%
7,1025355,A700011,0,1,12S24,120,0,27S18,120,0,220,55,44,92,7.00,29.00,54.08%,100.00%,54.08%
7,1005952,A650033,0,1,12S44,120,0,27S30,120,0,620,155,47,91,18.00,86.00,54.61%,100.00%,54.61%
7,1022285,B280952,0,1,11S23,24,9,11S47,24,2,480,62,19,41,11.00,31.00,79.44%,69.36%,55.10%
7,2489568,B292264,0,1,14T11,24,22,11S47,24,3,390,20,0,25,4.00,10.00,87.70%,62.85%,55.13%
7,4224790,B642411,0,1,58P48,44,24,27S18,120,0,440,110,46,40,33.00,60.00,80.00%,69.36%,55.48%
7,2481288,A830022,0,1,15S24,120,0,15S24,120,0,200,14,10,89,2.00,7.00,55.67%,100.00%,55.67%
7,1125532,A680025,0,1,15S24,120,0,15S30,120,0,360,84,39,89,5.00,42.00,55.67%,100.00%,55.67%
7,1256020,A300041,0,1,09S24,120,0,14S18,120,0,180,42,39,89,15.00,21.00,55.67%,100.00%,55.67%
7,9004462,A150013,0,1,11S30,120,0,27S18,120,0,104,26,45,89,4.00,14.00,55.67%,100.00%,55.67%
7,1126196,B262081,0,1,11T11,24,20,11S47,24,4,286,20,10,56,3.00,10.00,71.85%,77.71%,55.84%
7,1127140,B882012,0,1,11T11,24,20,11S47,24,4,120,8,0,56,3.00,4.00,71.85%,77.71%,55.84%
7,5554462,A320031,4,1,12S12,120,0,14S18,120,0,70,18,44,88,4.00,9.00,56.15%,100.00%,56.15%
7,9451797,B220167,0,1,06T04,24,1,11T11,24,1,138,18,19,88,4.00,9.00,56.15%,100.00%,56.15%
7,1043377,B282013,1,1,06T11,24,20,11T11,24,1,84,12,0,41,3.00,6.00,79.46%,70.75%,56.22%
